Season,Team,Driver
2019,Killer B's,Alex Bowman
2019,Ridge Racing,Aric Almirola
2019,Ridge Racing,Austin Dillon
2019,Field,B.J. McLeod
2019,Field,Bayley Currey
2019,Ricky Bobby,Brad Keselowski
2019,Field,Brendan Gaughan
2019,Ricky Bobby,Bubba Wallace
2019,Field,Casey Mears
2019,But We're Cute,Chase Elliott
2019,Stinky Hairy Busch,Chris Buescher
2019,Ricky Bobby,Clint Bowyer
2019,Field,Cody Ware
2019,Field,Corey LaJoie
2019,Field,D.J. Kennington
2019,Dirty Johnson,Daniel Hemric
2019,Baby Got Track,Daniel Suarez
2019,Hollywood High Life,David Ragan
2019,Hollywood High Life,Denny Hamlin
2019,Dirty Johnson,Erik Jones
2019,Field,Garrett Smithley
2019,Field,Gray Gaulding
2019,Field,Jamie McMurray
2019,Field,Jeb Burton
2019,Dirty Johnson,Jimmie Johnson
2019,Field,Joey Gase
2019,eGator Dad,Joey Logano
2019,Baby Got Track,Kevin Harvick
2019,Stinky Hairy Busch,Kurt Busch
2019,Killer B's ,Kyle Busch
2019,Stinky Hairy Busch,Kyle Larson
2019,Field,Landon Cassill
2019,Up Front,"Martin Truex, Jr."
2019,Ridge Racing,Matt DiBenedetto
2019,eGator Dad,Matt Tifft
2019,Baby Got Track,Michael McDowell
2019,Field,Parker Kligerman
2019,But We're Cute,Paul Menard
2019,Field,Quin Houff
2019,Field,Reed Sorenson
2019,Up Front,"Ricky Stenhouse, Jr."
2019,Field,Ross Chastain
2019,But We're Cute,Ryan Blaney
2019,Hollywood High Life,Ryan Newman
2019,Up Front,Ryan Preece
2019,Field,Timmy Hill
2019,Killer B's,Ty Dillon
2019,Field,Tyler Reddick
2019,eGator Dad,William Byron
2018,Hollywood High Life,A.J. Allmendinger
2018,Baby Got Track,Alex Bowman
2018,Field,Alon Day
2018,Chasing Cletus,Aric Almirola
2018,J-Town Throw Down,Austin Dillon
2018,Field,B.J. McLeod
2018,Field,Blake Jones
2018,Ricky Bobby,Brad Keselowski
2018,Field,Brendan Gaughan
2018,Up Front,Bubba Wallace
2018,Field,Chad Finchum
2018,Chasing Cletus,Chase Elliott
2018,Redneck Ghoster,Chris Buescher
2018,Field,Chris Cook
2018,Baby Got Track,Clint Bowyer
2018,Field,Cody Ware
2018,Field,Cole Custer
2018,Field,Cole Whitt
2018,Field,Corey LaJoie
2018,Field,D.J. Kennington
2018,Field,Danica Patrick
2018,Field,Daniel Hemric
2018,Chasing Cletus,Daniel Suarez
2018,Field,David Gilliland
2018,Field,David Ragan
2018,Field,David Starr
2018,Hollywood High Life,Denny Hamlin
2018,Field,Derrike Cope
2018,Up Front,Erik Jones
2018,Field,Garrett Smithley
2018,Field,Gray Gaulding
2018,Field,Harrison Rhodes
2018,Field,Hermie Sadler
2018,Field,J.J. Yeley
2018,Ricky Bobby,Jamie McMurray
2018,Field,Jeb Burton
2018,Field,Jeffrey Earnhardt
2018,Field,Jesse Little
2018,Don't Beat My Johnson,Jimmie Johnson
2018,Field,Joey Gase
2018,Gator Dad,Joey Logano
2018,Field,Josh Bilicki
2018,Field,Justin Marks
2018,Redneck Ghoster,Kasey Kahne
2018,Baby Got Track,Kevin Harvick
2018,Don't Beat My Johnson,Kurt Busch
2018,Killer B's,Kyle Busch
2018,Gator Dad,Kyle Larson
2018,Field,Kyle Weatherman
2018,Field,Landon Cassill
2018,Field,Mark Thompson
2018,Up Front,"Martin Truex, Jr."
2018,J-Town Throw Down,Matt DiBenedetto
2018,Ricky Bobby,Matt Kenseth
2018,Field,Michael McDowell
2018,Field,Parker Kligerman
2018,Don't Beat My Johnson,Paul Menard
2018,Field,"Ray Black, Jr."
2018,Field,Reed Sorenson
2018,Field,Regan Smith
2018,Hollywood High Life,"Ricky Stenhouse, Jr."
2018,Field,Ross Chastain
2018,J-Town Throw Down,Ryan Blaney
2018,Gator Dad,Ryan Newman
2018,Field,Spencer Gallagher
2018,Field,Stanton Barrett
2018,Field,Tanner Berryhill
2018,Field,Timmy Hill
2018,Field,Timothy Peters
2018,Field,Tomy Drissi
2018,Killer B's,Trevor Bayne
2018,Redneck Ghoster,Ty Dillon
2018,Killer B's,William Byron
2017,Gator Mom,A.J. Allmendinger
2017,Field,Alon Day
2017,Lazy Dog Dad,Aric Almirola
2017,Slobber Racing,Austin Dillon
2017,Gator Mom,B.J. McLeod
2017,Field,Billy Johnson
2017,Chug,Boris Said
2017,Gator Dad,Brad Keselowski
2017,Field,Brendan Gaughan
2017,Field,Brett Moffitt
2017,Field,Bubba Wallace
2017,Field,Carl Long
2017,Lazy Dog Mom,Chase Elliott
2017,Julian Gangsta,Chris Buescher
2017,Chug,Clint Bowyer
2017,Field,Cody Ware
2017,Slobber Racing,Cole Whitt
2017,Julian Gangsta,Corey LaJoie
2017,Field,D.J. Kennington
2017,Field,"Dale Earnhardt, Jr."
2017,Gator Dad,Danica Patrick
2017,Lazy Dog Mom,Daniel Suarez
2017,Julian Gangsta,David Ragan
2017,Field,David Starr
2017,Gator Dad,Denny Hamlin
2017,Chug,Derrike Cope
2017,Field,Elliott Sadler
2017,Chug,Erik Jones
2017,Field,Gary Klutt
2017,Lazy Dog Mom,Gray Gaulding
2017,Field,Hermie Sadler
2017,Field,J.J. Yeley
2017,Julian Gangsta,Jamie McMurray
2017,Ridge Racing,Jeffrey Earnhardt
2017,Slobber Racing,Jimmie Johnson
2017,Field,Joey Gase
2017,Ridge Racing,Joey Logano
2017,Field,Josh Bilicki
2017,Field,Justin Marks
2017,Gator Mom,Kasey Kahne
2017,Slobber Racing,Kevin Harvick
2017,Field,Kevin O'Connell
2017,Ridge Racing,Kurt Busch
2017,Gator Mom,Kyle Busch
2017,Gator Dad,Kyle Larson
2017,Field,Kyle Weatherman
2017,Gator Dad,Landon Cassill
2017,Field,Mark Thompson
2017,Lazy Dog Dad,"Martin Truex, Jr."
2017,Julian Gangsta,Matt DiBenedetto
2017,Ridge Racing,Matt Kenseth
2017,Gator Mom,Michael McDowell
2017,Field,Michael Waltrip
2017,Lazy Dog Dad,Paul Menard
2017,Field,"Ray Black, Jr."
2017,Chug,Reed Sorenson
2017,Field,Regan Smith
2017,Lazy Dog Dad,"Ricky Stenhouse, Jr."
2017,Field,Ross Chastain
2017,Lazy Dog Dad,Ryan Blaney
2017,Ridge Racing,Ryan Newman
2017,Field,Ryan Sieg
2017,Field,Stephen Leicht
2017,Field,Timmy Hill
2017,Field,Tommy Regan
2017,Lazy Dog Mom,Trevor Bayne
2017,Slobber Racing,Ty Dillon